City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,monrovia,6.3005,-10.7969,25.57,82,92,1.17,LR,1669867467
1,khatanga,71.9667,102.5,-27.96,97,100,4.28,RU,1669867467
2,hobart,-42.8794,147.3294,16.81,59,75,5.66,AU,1669867309
3,beidao,34.5686,105.8933,-0.44,25,99,0.32,CN,1669867468
4,narasannapeta,18.4167,84.05,26.89,59,4,2.52,IN,1669867172
5,cape town,-33.9258,18.4232,17.97,87,100,0.89,ZA,1669867393
6,albany,42.6001,-73.9662,3.23,73,59,1.34,US,1669867183
7,puri,19.8,85.85,26.29,54,0,3.74,IN,1669867468
8,rikitea,-23.1203,-134.9692,22.79,73,74,5.84,PF,1669867469
9,san lawrenz,36.0553,14.204,13.81,80,3,6.82,MT,1669867469
10,mataura,-46.1927,168.8643,10.27,55,82,4.12,NZ,1669867303
11,manbij,36.5281,37.9549,11.26,92,84,2.45,SY,1669867470
12,bredasdorp,-34.5322,20.0403,17.25,78,90,2.16,ZA,1669867470
13,brandon,27.9378,-82.2859,21.6,73,0,1.79,US,1669867330
14,tasiilaq,65.6145,-37.6368,5.09,92,98,4.09,GL,1669867348
15,kodiak,57.79,-152.4072,-0.27,59,100,1.54,US,1669867225
16,lhokseumawe,5.1801,97.1507,28.53,69,100,0.89,ID,1669867471
17,clyde river,70.4692,-68.5914,-32.38,84,11,2.39,CA,1669867471
18,ushuaia,-54.8,-68.3,4.68,91,65,3.46,AR,1669867310
19,punta arenas,-53.15,-70.9167,8.95,61,95,12.16,CL,1669867362
20,tuktoyaktuk,69.4541,-133.0374,-17.84,97,100,1.88,CA,1669867472
21,talara,-4.5772,-81.2719,19.75,84,89,5.47,PE,1669867472
22,mopipi,-21.1833,24.8833,20.97,48,0,3.11,BW,1669867473
23,chokurdakh,70.6333,147.9167,-20.37,98,100,3.9,RU,1669867362
24,busselton,-33.65,115.3333,23.67,52,36,5.54,AU,1669867473
25,kununurra,-15.7667,128.7333,36.99,18,96,2.57,AU,1669867474
26,puerto ayora,-0.7393,-90.3518,20.86,89,63,3.13,EC,1669867308
27,san cristobal,7.7669,-72.225,17.49,96,67,1.91,VE,1669867475
28,khuzhir,53.1939,107.3397,-12.98,74,100,6.75,RU,1669867475
29,airai,-8.9266,125.4092,21.99,69,85,1.05,TL,1669867475
30,longyearbyen,78.2186,15.6401,1.91,87,75,5.14,SJ,1669867476
31,harper,4.375,-7.7169,25.06,85,100,1.2,LR,1669867476
32,bluff,-46.6,168.3333,10.45,59,66,9.95,NZ,1669867476
33,broken hill,-31.95,141.4333,26.23,24,51,7.15,AU,1669867333
34,georgetown,5.4112,100.3354,30.96,75,20,4.12,MY,1669867245
35,katsuura,35.1333,140.3,10.01,86,100,7.59,JP,1669867477
36,vaini,-21.2,-175.2,28.09,83,75,4.12,TO,1669867477
37,junagarh,19.8667,82.9333,24.68,54,1,1.54,IN,1669867478
38,vardo,70.3705,31.1107,-0.01,86,100,3.09,NO,1669867478
39,puerto colombia,10.9878,-74.9547,27.05,80,19,10.06,CO,1669867478
40,oktyabrskiy,54.4815,53.471,-11.88,96,97,0.6,RU,1669867207
41,kavieng,-2.5744,150.7967,29.23,66,87,2.23,PG,1669867479
42,chapais,49.7834,-74.8492,-2.12,90,100,5.88,CA,1669867404
43,cidreira,-30.1811,-50.2056,21.26,97,100,7.31,BR,1669867479
44,jamestown,42.097,-79.2353,-1.23,97,100,7.2,US,1669867480
45,nikolskoye,59.7035,30.7861,-5.05,91,94,1.67,RU,1669867480
46,kabanjahe,3.1001,98.4908,21.39,85,100,1.41,ID,1669867480
47,lorengau,-2.0226,147.2712,29.62,67,100,2.45,PG,1669867481
48,hilo,19.7297,-155.09,26.27,97,84,2.05,US,1669867420
49,ribeira grande,38.5167,-28.7,16.54,81,5,1.34,PT,1669867482
50,sao joao da barra,-21.6403,-41.0511,23.54,91,95,7.78,BR,1669867482
51,soubre,5.7856,-6.6083,22.47,97,93,0.91,CI,1669867482
52,pedro ii,-4.4247,-41.4586,22.0,80,36,1.27,BR,1669867483
53,wanning,18.8003,110.3967,24.02,89,100,7.93,CN,1669867483
54,porto belo,-27.1578,-48.5531,24.27,94,100,5.87,BR,1669867464
55,nesna,66.1967,13.0213,1.48,73,71,3.68,NO,1669867484
56,apostolove,47.66,33.7137,-0.63,60,99,6.11,UA,1669867484
57,ponta delgada,37.7333,-25.6667,16.39,94,75,1.03,PT,1669867484
58,okakarara,-20.5833,17.4333,19.94,39,0,1.8,NA,1669867485
59,te anau,-45.4167,167.7167,15.99,43,34,4.63,NZ,1669867422
60,saint george,37.1041,-113.5841,7.75,35,0,3.09,US,1669867462
61,atuona,-9.8,-139.0333,25.51,75,62,5.77,PF,1669867311
62,nyurba,63.2842,118.3319,-27.58,94,100,3.0,RU,1669867485
63,bandiagara,14.3501,-3.6104,22.6,17,83,3.08,ML,1669867486
64,nadym,65.5333,72.5167,-25.31,99,11,2.21,RU,1669867486
65,eureka,40.8021,-124.1637,9.96,95,100,1.34,US,1669867219
66,krasnoselkup,65.7,82.4667,-18.87,97,100,4.95,RU,1669867486
67,wewak,-3.5534,143.6268,29.67,69,100,4.64,PG,1669867487
68,avarua,-21.2078,-159.775,27.03,78,75,6.17,CK,1669867306
69,dikson,73.5069,80.5464,-5.26,94,100,6.54,RU,1669867487
70,butembo,0.15,29.2833,13.98,99,100,1.17,CD,1669867488
71,barrow,71.2906,-156.7887,-2.99,93,100,4.63,US,1669867361
72,new norfolk,-42.7826,147.0587,16.62,36,9,2.13,AU,1669867488
73,lazaro cardenas,17.9583,-102.2,24.56,83,59,1.9,MX,1669867488
74,norman wells,65.282,-126.8329,-15.45,97,100,1.02,CA,1669867489
75,denpasar,-8.65,115.2167,29.84,70,20,5.14,ID,1669867209
76,matara,5.9485,80.5353,27.95,72,100,2.29,LK,1669867489
77,tabou,4.423,-7.3528,24.7,87,100,0.93,CI,1669867490
78,asnaes,55.8123,11.5013,3.48,98,100,3.77,DK,1669867490
79,rock sound,24.9,-76.2,26.07,73,42,7.36,BS,1669867225
80,chuy,-33.6971,-53.4616,21.26,87,60,6.52,UY,1669867491
81,tiksi,71.6872,128.8694,-24.33,98,100,6.63,RU,1669867491
